id,Star_name,Distance,Mass,Radius,luminosity
0,Sun,0.000015813,1,1,1
1,Sirius,0008.6,2.1,1.71,1
2,Canopus,0310,15,71,1
3,Alpha Centauri,0004.4,1.1,1.2,1
4,Arcturus,0037,1.1,26,1
5,Vega,0025,2.2,2.7,1
6,Capella,0043,2.6,12,1
7,Rigel,0860,23,78.9,1
8,Procyon,0011.4,1.5,1.9,1
9,Betelgeuse,0640[1],20,950,1
10,Achernar,0144,6.7,9.3,1
11,Hadar,0390,10.5,8.6,1
12,Altair,0017,1.8,1.8,1
13,Acrux,0320,18,8.9,1
14,Aldebaran,0065,1.5,44,1
15,Antares,0600,12,680,1
16,Spica,0260,11.43,7.47,1
17,Pollux,0034,1.9,8.8,1
18,Fomalhaut,0025,1.9,1.8,1
19,Deneb,"2,600",19,203,1
20,Mimosa,0350,16,8.4,1
21,Regulus,0077,3.8,3.1,1
22,Adhara,0430,12.5,14,1
23,Shaula,0700,14.5,8.8,1
24,Castor,0052,2.8,2.4,1
25,Gacrux,0088,1.5,84,1
26,Bellatrix,0240,8.6,5.8,1
27,Elnath,0130,5.0,4.2,1
28,Miaplacidus,0110,3.5,6.8,1
29,Alnilam,"2,000",32,42,1
30,Gamma Velorum,"01,100",9.0,6,1
31,Alnair,0101,4.0,3.4,1
32,Alioth,0081,2.9,4.2,1
33,Alnitak,01050,33,20,1
34,Dubhe,0120,4.25,30,1
35,Mirfak,0590,8.5,68,1
36,Wezen,"1,600",17,200,1
37,Sargas,0270,5.7,26,1
38,Kaus Australis,0140,3.5,6.8,1
39,Avior,0630,9.0,130,1
40,Alkaid,0104,6.1,3.4,1
41,Menkalinan,081,2.39,2.77,1
42,Atria,0390,7,92,1
43,Alhena,0109,2.8,3.3,1
44,Peacock,0180,5.9,4.8,1
45,Alsephina[2],0080,2.4,2.9,1
46,Mirzam,0500,13.5,10,1
47,Polaris,0430,5.4,39,1
48,Alphard,0180,3.0,50,1
49,Mintaka,01200,24,16.5,1
50,Scheat,0196,2.1,95,1
51,Almaaz,0653,15,140,1
52,Rasalgethi,0360,2.8,280,1
53,Tau Ceti,011.9,0.783,0.893,1
54,Delta Pavonis,019.92,0.991,1.22,1
55,Ran,010.48,0.82,0.74,1
56,V382 Carinae,"08,900",20,485,1
57,Eta Carinae,"07,500",100,60 - 881,1
58,Delta Cephei,0887,4.5,44.5,1
59,Mu Cephei,"06,000",19.2,972,1
60,Titawin,044.25,1.27,1.48,1
61,Rho Cassiopeiae,"08,154",22,636-981,1
62,P Cygni,"05,545",30,76,1
63,La Superba,"01,000",,129 - 342,1
64,VV Cephei,"04,900",18.2,"516 - 1,050",1
65,61 Cygni,011.41,0.7,0.665,1
66,R Doradus,0178,0.7 - 1.0,298,1
67,Polaris Australis,0281,1.59,3.74,1
68,R Coronae Borealis,"04,566",0.85,85,1
69,54 Piscium,036.1,0.76,0.94,1
70,Mira,0300,1.2,370,1
71,RW Cephei,"014,000",13.9,"1,158",1
72,Lacaille 8760,012.87,0.6,0.51,1
73,V838 Monocerotis,"019,896",?,380 - 750,1
74,HD 140283,0202,0.81,2.04,1
75,II Pegasi,0130,0.8,3.4,1
76,VY Canis Majoris,"03,900",17,"1,420",1
77,Pistol Star,"025,000",100,320,1
78,S Doradus,"0169,000",24,380,1
79,UY Scuti,"05,100",7 - 10,755,1
80,Barnard's Star,05.98,0.14,0.20,1
81,HE 1523-0901,"010,000",0.80,27,1
82,Proxima Centauri,04.25,0.12,0.15,1
83,KIC 8462852,"01,470",1.43,1.58,1
84,R136a1,"0163,000",290,32,1
85,Melnick 42,"0163,000",189,21.1,1
86,WR 102,"018,134",19,0.39,1
87,VFTS 352,"0164,000",57.48,14.47,1
88,YBP 1194,"02,772",1.01,0.99,1
89,Gliese 1214,047.5,0.16,0.21,1
90,Luhman 16,06.50,0.03 + 0.03,?,1
91,NML Cygni,"05,251",50,"1,640 - 2,770",1
92,VB 10,018.72,0.075,0.10,1
93,WOH G64,"0163,000",<20,"1,540 - 1,730",1
94,TRAPPIST-1,039.6,0.089,0.12,1
95,2MASS J0523-1403,040.3,0.07,0.086,1
96,WISE 0855âˆ’0714,07.27,0.003,?,1
97,Icarus,"014,400,000,000",33,?,1
